Name  BindingEnergy(kcal/mol)
Ag_0.0  31.5394
Ag_0.1  28.9914
Ag_0.25  27.3319
Ag_0.28  33.5435
Ag_0.31  5.67328
Ag_0.42  20.5699
Ag_0.43  19.72
Ag_0.44  20.33
Ag_0.47  24.95
Ag_0.70  27.1377
Ag_10.18  15.55
Ag_10.22  16.85
Ag_10.32  12.61
Ag_10.33  14.88
Ag_10.34  14.58
Ag_10.35  15.75
Ag_10.39  11.07
Ag_10.43  13.50
Ag_10.44  11.82
Ag_10.45  13.04
Ag_10.46  13.85
Ag_10.48  11.35
Ag_10.49  13.21
Ag_10.70  12.2672
Ag_11.18  17.28
Ag_11.32  14.04
Ag_11.33  11.63
Ag_11.34  13.44
Ag_11.35  16.15
Ag_11.38  12.83
Ag_11.41  12.5763
Ag_11.42  11.74
Ag_11.43  15.87
Ag_11.44  15.82
Ag_11.46  10.61
Ag_11.48  11.92
Ag_11.49  14.11
Ag_11.70  14.9763
Ag_12.16  24.58
Ag_1.22  30.1158
Ag_1.23  21.5706
Ag_12.32  14.52
Ag_12.33  11.26
Ag_12.34  12.65
Ag_12.35  18.89
Ag_12.36  10.30
Ag_12.38  12.72
Ag_12.39  10.08
Ag_12.40  10.07
Ag_12.41  16.4372
Ag_12.42  11.87
Ag_12.44  15.86
Ag_12.45  11.56
Ag_12.46  14.09
Ag_12.47  10.79
Ag_12.48  13.64
Ag_12.70  16.4196
Ag_1.30  26.5186
Ag_13.16  20.91
Ag_13.18  15.58
Ag_13.22  11.23
Ag_13.23  12.87
Ag_13.32  12.55
Ag_13.33  12.39
Ag_13.34  12.89
Ag_13.35  16.86
Ag_13.38  11.26
Ag_13.41  12.4337
Ag_13.42  8.44
Ag_13.43  14.76
Ag_13.44  12.97
Ag_13.48  11.54
Ag_13.49  15.21
Ag_13.70  11.5976
Ag_14.14  14.99
Ag_14.15  18.59
Ag_14.16  20.73
Ag_14.18  18.09
Ag_1.42  18.929
Ag_14.32  14.50
Ag_14.33  8.52
Ag_14.34  11.69
Ag_14.35  14.28
Ag_14.37  13.5795
Ag_14.38  13.09
Ag_14.42  8.68
Ag_14.43  14.13
Ag_14.44  13.80
Ag_14.47  11.68
Ag_14.48  9.74
Ag_14.49  12.48
Ag_14.50  18.68
Ag_14.58  14.04
Ag_14.61  18.61
Ag_14.68  14.94
Ag_15.15  18.18
Ag_15.16  29.03
Ag_15.17  20.61
Ag_15.18  22.39
Ag_15.20  18.81
Ag_15.30  8.24
Ag_15.31  18.61
Ag_15.32  17.23
Ag_15.38  9.61
Ag_15.40  9.81542
Ag_15.44  21.55
Ag_15.49  18.04
Ag_15.50  22.40
Ag_15.58  16.14
Ag_15.61  18.96
Ag_15.67  19.89
Ag_15.68  25.91
Ag_15.71  26.12
Ag_16.19  16.80
Ag_16.25  25.11
Ag_16.51  26.25
Ag_16.52  22.90
Ag_16.53  25.08
Ag_16.54  24.26
Ag_16.55  24.44
Ag_16.58  25.58
Ag_16.60  26.01
Ag_16.61  24.74
Ag_16.62  25.85
Ag_16.64  25.20
Ag_16.65  25.07
Ag_16.66  25.36
Ag_16.68  23.42
Ag_16.69  26.34
Ag_16.70  23.23
Ag_1.70  21.3059
Ag_17.18  17.23
Ag_17.23  21.79
Ag_17.30  16.78
Ag_17.37  13.2314
Ag_17.38  12.5405
Ag_17.39  11.5393
Ag_17.43  15.18
Ag_17.44  13.71
Ag_17.48  9.75804
Ag_17.70  14.7211
Ag_18.18  35.45
Ag_18.22  37.51
Ag_18.23  43.34
Ag_18.25  23.31
Ag_18.28  33.69
Ag_18.29  23.52
Ag_18.30  36.90
Ag_18.31  23.18
Ag_18.71  30.44
Ag_19.32  12.56
Ag_19.33  10.86
Ag_19.34  10.84
Ag_19.35  13.73
